,"ru","en","de","pl"
"AndCondition::And","И","And","Und","oraz"
"AttributeAggregationField::Aggregation","Агрегация","Aggregation","Anhäufung","Zbiór"
"AttributeCreatingModal::Cancel","Отмена","Cancel",,
"AttributeCreatingModal::Confirm","Вычислимый атрибут будет удален без возможности восстановления. Подтвердите операцию","The calculated attribute will be deleted and cannot be recovered. Confirm operation",,
"AttributeCreatingModal::CreateField","Создать поле","Create field",,
"AttributeCreatingModal::Delete","Удалить","Delete",,
"AttributeCreatingModal::FieldName","Название поля","Field name",,
"AttributeCreatingModal::FormulaError","Формула введена некорректно","The formula is incorrectly entered",,
"AttributeCreatingModal::OldFormat","Формат данных формулы является устаревшим. Редактирование не доступно","Format of the formula is outdated. Editing is not available",,
"AttributeCreatingModal::Save","Сохранить","Save",,
"AttributeGroupField::Group","Группировка","Grouping",,
"AttributeSelect::Empty","Не выбрано","Not selected",,
"AutoUpdateButton::Apply","Применить","Apply",,
"AutoUpdateButton::AutoRefreshOff","Автообновление выключено","Auto update disabled",,
"AutoUpdateButton::AutoRefreshOn","Автообновление включено","Auto update on",,
"AutoUpdateButton::DiagramAutoRefresh","Автообновление диаграмм","Auto update of charts",,
"AutoUpdateButton::ErrorMessage","Необходимо задать целое число минут от {min} до {max}","You must set an integer number of minutes from {min} to {max}",,
"AutoUpdateButton::Minutes","минут","minutes",,
"AxisChartStyleTab::Indicator","Показатель","Indicator",,
"AxisChartStyleTab::Parameter","Параметр","Parameter",,
"AxisSettingsBox::Axis","Ось","Axis",,
"AxisSettingsBox::AxisName","Название оси","Axis name",,
"BorderFieldSet::Maximum","Максимум","Maximum",,
"BorderFieldSet::Minimum","Минимум","Minimum",,
"BorderFieldSet::ScaleBoundaries","Границы шкал","Scale boundaries",,
"BorderFieldSet::UseNumericValue","Использовать числовое значение","Use number value",,
"BorderRangeField::Delete","Удалить","Delete",,
"BordersRangesFieldset::Add","Добавить","Add",,
"BordersRangesFieldset::Ranges","Диапазоны","Ranges",,
"BordersRangesFieldset::UseRanges","Использовать диапазоны","Use Ranges",,
"BordersRangesStyleBox::InLegend","В легенде","On the legend",,
"BordersRangesStyleBox::OnArc","На дуге","On arc",,
"BordersRangesStyleBox::Range","Подпись диапазонов","Caption of the ranges",,
"BordersRangesTypeFieldset::Absolute","Абсолютное значение","Absolute value",,
